Date and Time;Stamp;Direction;Source;Destination;Message Id;Length;Status for Tx;Data;angularRate
23_02_21 12:06:45.020;0;I;1220;808;2100;4;;481f63be;-0.22179901599884033
23_02_21 12:06:45.156;0;I;1220;808;2100;4;;49f4c4bd;-0.09616906195878983
23_02_21 12:06:45.284;0;I;1220;808;2100;4;;e8bfaa3d;0.08337384462356567
23_02_21 12:06:45.414;0;I;1220;808;2100;4;;a3d1973d;0.07413031905889511
23_02_21 12:06:45.545;0;I;1220;808;2100;4;;c03a8b3d;0.06798315048217773
23_02_21 12:06:45.675;0;I;1220;808;2100;4;;91caa83d;0.08241761475801468
23_02_21 12:06:45.808;0;I;1220;808;2100;4;;29ab4bbc;-0.012430944480001926
23_02_21 12:06:45.939;0;I;1220;808;2100;4;;0cc6bd3d;0.09266290068626404
23_02_21 12:06:46.070;0;I;1220;808;2100;4;;5bbda63d;0.08141585439443588
23_02_21 12:06:46.201;0;I;1220;808;2100;4;;ab4b4bbe;-0.19853083789348602
23_02_21 12:06:46.333;0;I;1220;808;2100;4;;0544bfbd;-0.09339145570993423
23_02_21 12:06:46.464;0;I;1220;808;2100;4;;9169af3d;0.08565057069063187
23_02_21 12:06:46.596;0;I;1220;808;2100;4;;a9bc41be;-0.18919624388217926
23_02_21 12:06:46.727;0;I;1220;808;2100;4;;eb3eb73d;0.08947547525167465
23_02_21 12:06:46.859;0;I;1220;808;2100;4;;4614bf3d;0.09330038726329803
23_02_21 12:06:46.990;0;I;1220;808;2100;4;;a04ac03d;0.09389233589172363
23_02_21 12:06:47.121;0;I;1220;808;2100;4;;17c748be;-0.19607196748256683
23_02_21 12:06:47.251;0;I;1220;808;2100;4;;4d3d0f3a;0.00054641516180709
23_02_21 12:06:47.381;0;I;1220;808;2100;4;;c715b83d;0.08988528698682785
23_02_21 12:06:47.513;0;I;1220;808;2100;4;;d998c1bc;-0.023632453754544258
23_02_21 12:06:47.644;0;I;1220;808;2100;4;;8a86b73d;0.08961208164691925
